# Run complete. Total time: 00:22:56

Benchmark                                                                                           (captureOutput)  (command)  (iterations)    Mode   Cnt           Score            Error    Units
Benchmark.runApache_withoutThreads:·threads.started                                                           false       date            20   thrpt    10          60.000                   threads
Benchmark.runApache_withoutThreads                                                                            false         du             5   thrpt    10           0.136 ±          0.005   ops/ms
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.invocations                                      false         du             5   thrpt    10           0.600 ±          0.781        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastEntryTime                                    false         du             5   thrpt    10  1346603684.300 ± 1759873228.204        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastExitTime                                     false         du             5   thrpt    10  1346518030.100 ± 1759785605.292        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.time                                             false         du             5   thrpt    10     2192038.200 ±    2878906.433        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.compressedclassspace.used                                    false         du             5   thrpt    10         416.000 ±        812.949        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.2.used                                    false         du             5   thrpt    10      566083.200 ±    3220494.658        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.1.space.0.used                                    false         du             5   thrpt    10        4915.200 ±       6395.656        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.capacity                                           false         du             5   thrpt    10       52428.800 ±     167105.007        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.used                                               false         du             5   thrpt    10       13168.800 ±      23363.151        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgMinorIntervalTime                                  false         du             5   thrpt    10          94.200 ±        150.763        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedAvg                                        false         du             5   thrpt    10        9503.200 ±      36143.977        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedDev                                        false         du             5   thrpt    10        7858.900 ±      17389.150        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedPaddedAvg                                  false         du             5   thrpt    10       33079.900 ±      76886.796        ?
